BWV,2a,Date,Name,Key,Scoring,BG,NBE,Additional info,BD
1.,"Cantatas (see also: List of Bach cantatas, Church cantata (Bach) and List of secular cantatas by Johann Sebastian Bach)","Cantatas (see also: List of Bach cantatas, Church cantata (Bach) and List of secular cantatas by Johann Sebastian Bach)","Cantatas (see also: List of Bach cantatas, Church cantata (Bach) and List of secular cantatas by Johann Sebastian Bach)","Cantatas (see also: List of Bach cantatas, Church cantata (Bach) and List of secular cantatas by Johann Sebastian Bach)","Cantatas (see also: List of Bach cantatas, Church cantata (Bach) and List of secular cantatas by Johann Sebastian Bach)","Cantatas (see also: List of Bach cantatas, Church cantata (Bach) and List of secular cantatas by Johann Sebastian Bach)","Cantatas (see also: List of Bach cantatas, Church cantata (Bach) and List of secular cantatas by Johann Sebastian Bach)","Cantatas (see also: List of Bach cantatas, Church cantata (Bach) and List of secular cantatas by Johann Sebastian Bach)",Up ↑
1,1.,1725-03-25,Cantata Wie schön leuchtet der Morgenstern (Annunciation),F maj.,stbSATB 2Hn 2Odc 2Vl Str Bc,1: 1,I/28.2: 3,after Z 8359; text after Nicolai,00001
2,1.,1724-06-18,"Cantata Ach Gott, vom Himmel sieh darein (Trinity II)",G min.,atbSATB 4Tbn 2Ob Str Bc,1: 53,I/16: 81,after Z 4431; text after Luther,00002
2/6,1.,1724-06-18,"chorale setting ""Ach Gott, vom Himmel sieh darein"" (s. 6)",G Dor.,SATB,1: 72,III/2.1: 25 III/2.2: 156,after Z 4431; text by Luther,11189
3,1.,1725-01-14,"Cantata Ach Gott, wie manches Herzeleid (Epiphany II)",A maj.,satbSATB Hn Tbn 2Oba Str Bc,1: 73,I/5: 189,after Z 533a; text after Moller,00003
3/6,1.,1725-01-14,"chorale setting ""Ach Gott, wie manches Herzeleid"" (s. 18)",A maj.,SATB,1: 94,III/2.1: 26 III/2.2: 90,after Z 533a; text by Moller,11191
4.2,1.,1724-04-09,Cantata Christ lag in Todes Banden (Easter),E min.,satbSATB Cnt 3Tbn Str Bc,1: 95,I/9: 1,after BWV 4.1; text by Luther,00004
4/8,1.,1724-04-09,"chorale setting ""Christ lag in Todes Banden"" (s. 7)",E min. D min.,SATB,1: 124,III/2.2: 104,after Z 7012a; text by Luther,11295
4.1,1.,1707-04-24,"Cantata Christ lag in Todes Banden (Easter; early version, lost)",,satbSATB 2Vl 2Va Bc,,I/9,after Z 7012a; → BWV 4.2; text by Luther,00005
5,1.,1724-10-15,Cantata Wo soll ich fliehen hin (Trinity XIX),G min.,satbSATB Tdt 2Ob Str Bc,1: 125,I/24: 133,after Z 2164; text after Heermann,00006
5/7,1.,1724-10-15,"chorale setting ""Wo soll ich fliehen hin"" (s. 11)",G min.,SATB,1: 150,III/2.1: 66 III/2.2: 180,after Z 2164; text by Heermann,11232
5/7,1.,1724-10-15,"chorale setting ""Auf meinen lieben Gott""",G min.,SATB,1: 150,III/2.1: 66 III/2.2: 180,after Z 2164,11232
6,1.,1725-04-02,"Cantata Bleib bei uns, denn es will Abend werden (Easter 2)",C min.,satbSATB 2Ob Odc Str Vc Bc,1: 151,I/10: 43,"after Z 439 (/3: → BWV 649), Z 350a (/6); text after Lk 24:29 (/1), by Melanchthon & Selnecker (/3), Luther (/6)",00007
6/6,1.,1725-04-02,"chorale setting ""Erhalt uns, Herr, bei deinem Wort"" (s. 2)",G min.,SATB,1: 176,III/2.2: 40,after Z 350a; text by Luther,11338
7,1.,1724-06-24,Cantata Christ unser Herr zum Jordan kam (24 June: feast of John the Baptist),E min.,atbSATB 2Oba 2Vl Str Bc,1: 177,I/29: 25,after Z 7246; text after Luther,00008
